Название,Пол,Бренд,Страна,Концентрация,Семейства,Стойкость минимум (ч),Стойкость максимум (ч),Шлейф,Возраст (до 18),мл,Цена,верхние ноты,ноты сердца,базовые ноты
Shalimar,ж,Guerlain,Франция,духи,Восточные,2,5,средний,+,30,10234,Бергамот;Цитрусы;Лимон;Мандарин,Ирис;Пачули;Роза;Ветивер;Жасмин,Бобы;Кожаный аккорд;Ладан;Мускус;Опопанакс;Сандал;Ваниль;Цибетин
3 L'Imperatrice,ж,Dolce&Gabbana,Италия,туалетная вода,Цветочные;Водные,12,1000,очень заметный,+,50,5170,Киви;Ревень;Розовый перец,Арбуз;Цикламен;Жасмин,Мускус;Сандал
Infinite Definitive,м,LAURENT MAZZONE PARFUMS,Франция,духи,Фруктовые;Цитрусовые,5,12,заметный,,100,12268,"Черная смородина, Ягоды можжевельника",Гальбанум;Гардения,Амбра
Sugar,ж,Franck Boclet,Франция,духи,Цветочные;Сладкие,5,12,заметный,,100,9197,"Бергамот, Кокос, Лист черной смородины, Маршмеллоу, Мёд","Груша, Карамель, Персик, Ваниль, Жасмин","Апельсиновый цвет, Мускус, Фиалка, Малина"
Dior Homme Parfum,м,DIOR,Франция,духи,Древесные,2,5,незаметный,+,8,1859,"Апельсин, Ирис","Кожаный аккорд, Роза","Амбретта, Кедр, Сандал, Уд"
Sauvage,м,DIOR,Франция,туалетная вода,Восточные;Мускусные,5,12,средний,+,60,11388,"Черный перец, Калабрийский бергамот","Элеми, Герань, Лаванда, Пачули, Розовый перец, Сычуаньский перец, Ветивер","Амброксан, Кедр, Лабданум"
Sakura,м,DIOR,Франция,парфюмерная вода,Цветочные;Сладкие,5,12,заметный,,125,37063,Роза;Вишневый цвет,Роза;Вишневый цвет,Роза;Вишневый цвет
CK Everyone,ж,Calvin Klein,США,туалетная вода,Фруктовые;Цитрусовые,2,5,средний,+,100,5843,Апельсин,Чай,Кедр;Мускус
Bad Boy,м,Carolina Herrera,США,туалетная вода,Древесные;Пряные,2,5,средний,,100,10497,Белый перец;Бергамот;Черный перец,Кедр;Шалфей,Бобы;Янтарь;Какао
Eau de Lacoste L.12.12 Blanc,м,Lacoste,Франция,туалетная вода,Древесные;Фужерные,2,5,средний,+,50,5774,Грейпфрут;Кардамон;Розмарин,Иланг-иланг;Тубероза,Кедр;Кожаный аккорд;Ветивер;Замша
Ange ou Demon,ж,Givenchy,Франция,парфюмерная вода,Восточные;Ароматические,12,1000,очень заметный,+,30,8805,Мандарин;Шафран;Тимьян,Иланг-иланг;Орхидея;Лилия,Бобы;Дубовый мох;Палисандр;Ваниль
Samsara Eau de Parfum,ж,Guerlain,Франция,парфюмерная вода,Восточные;Ванильные,12,1000,средний,,50,11586,Бергамот;Иланг-иланг;Лимон;Цвет персика;Зеленый аккорд,Фиалка;Корень фиалки;Нарцисс;Роза;Жасмин,Бобы;Ирис;Мускус;Сандал;Ваниль
Antaeus,м,CHANEL,Франция,туалетная вода,Древесные;Пряные,5,12,заметный,+,100,19032,"Бергамот, Кориандр, Лайм, Лимон, Мирра, Мускатный шалфей","Базилик, Роза, Тимьян, Жасмин","Дубовый мох, Кастореум, Лабданум, Пачули"
Portos,м,Balenciaga,Испания,парфюмерная вода,Древесные;Пряные,2,5,средний,,125,29303,"Бергамот, Гальбанум, Кориандр, Тмин","Герань, Гвоздика, Кедр, Пачули, Ветивер, Жасмин","Дубовый мох, Кастореум, Кожаный аккорд, Лабданум, Ладан, Мирра, Мускус"
Eclat D Arpege,ж,Lanvin,Франция,парфюмерная вода,Цветочные,12,1000,средний,+,50,3179,Пион;Цвет персика;Чай,Амбра;Мускус;Сирень,Злаки;Кедр;Османтус
Toy Boy,м,Moscino,Италия,парфюмерная вода,Древесные;Пряные,2,5,средний,+,50,7887,Бергамот;Элеми;Груша;Гвоздика;Мускатный орех;Розовый перец,Кашмеран;Лен;Магнолия;Роза,Ветивер;Силколид
Declaration D Un Soir,м,Cartier,Франция,туалетная вода,Древесные;Пряные,2,5,средний,+,100,22557,Кардамон;Черный перец;Тмин,Мускатный орех;Роза,Сандал
Tous Gold,м,Tous,Испания,парфюмерная вода,Цветочные;Сладкие,5,12,заметный,,90,5927,"Лист черной смородины, Палисандр","Апельсиновый цвет, Гардения, Пион, Роза","Мускус, Ирис, Кедр"
Eros,м,Versace,Италия,туалетная вода,Древесные;Пряные,12,1000,средний,+,30,4703,"Лимон, Мята, Зеленое яблоко","Амброксан, Бобы тонка, Герань","Дубовый мох, Кедр, Ваниль, Ветивер"
Molecules 02,ж,Escentric Molecules,Германия,туалетная вода,Восточные;Амбровые,12,1000,средний,+,30,13047,Асброксан,Асброксан,Асброксан
The Only One,ж,Dolce&Gabbana,Италия,парфюмерная вода,Восточные;Мускусные;Шипровые,2,5,средний,,30,5582,Апельсин;Бергамот;Фиалка,Груша;Ирис;Кофе;Роза,Карамель;Пачули;Ваниль
Flora by Gucci Gorgeous Gardenia,ж,Gucci,Италия,туалетная вода,Цветочные;Зеленые;Мускусные,12,1000,средний,+,100,51916,Груша;Розовый перец,Франжипани;Гардения,Коричневый сахар;Пачули
La Petite Robe Noire Ma Robe Cocktail,ж,Guerlain,Франция,туалетная вода,Цветочные;Зеленые;Свежие,5,12,средний,+,100,13909,Роза;Зеленый аккорд;Жасмин,Апельсин;Яблоко;Миндаль;Вишня,Мускус;Амбра
Prada L'Homme,м,Prada,Италия,туалетная вода,Древесные;Пряные,2,5,средний,+,50,13412,Нероли;Черный перец,Амбра;Фиалка;Герань;Ирис,Белый кедр;Пачули
